Date,Precipitation,Temparature,Wind Speed,Humidity,Daylight Hours
2020/1/1,0.0,6.5,3.0,56.0,5.0
2020/1/2,0.0,8.4,3.4,58.0,8.0
2020/1/3,0.0,9.7,3.1,57.0,5.5
2020/1/4,0.0,9.4,4.6,56.0,7.2
2020/1/5,0.0,6.7,3.5,63.0,3.3
2020/1/6,0.0,7.3,2.1,58.0,5.6
2020/1/7,1.0,7.7,5.0,76.0,0.0
2020/1/8,23.0,13.0,7.3,69.0,4.7
2020/1/9,0.0,10.4,3.6,63.0,3.3
2020/1/10,0.0,9.3,3.2,57.0,7.2
2020/1/11,0.0,8.1,2.4,69.0,8.0
2020/1/12,0.0,9.0,2.7,72.0,0.0
2020/1/13,0.0,8.6,5.0,52.0,8.1
2020/1/14,1.5,7.4,1.9,62.0,3.7
2020/1/15,0.5,7.3,3.7,68.0,3.8
2020/1/16,0.0,6.9,2.3,68.0,4.4
2020/1/17,0.0,7.7,2.9,70.0,0.0
2020/1/18,0.0,8.6,3.6,52.0,7.7
2020/1/19,0.0,8.0,2.4,59.0,5.6
2020/1/20,0.0,9.5,3.6,52.0,3.6
2020/1/21,0.0,7.6,4.2,59.0,4.8
2020/1/22,2.0,7.6,3.0,66.0,2.6
2020/1/23,27.0,10.6,5.1,90.0,0.0
2020/1/24,0.0,11.4,2.6,73.0,0.8
2020/1/25,0.0,8.5,4.0,53.0,0.8
2020/1/26,0.0,9.4,2.7,57.0,2.7
2020/1/27,5.0,9.2,12.6,66.0,0.0
2020/1/28,1.0,12.7,9.0,71.0,3.8
2020/1/29,1.0,11.5,4.3,71.0,5.3
2020/1/30,0.5,8.5,3.6,65.0,6.8
2020/1/31,0.0,6.4,4.2,61.0,5.2
2020/2/1,0.0,7.0,3.5,50.0,4.3
2020/2/2,0.0,7.7,1.9,61.0,7.7
2020/2/3,0.0,8.4,3.1,63.0,4.3
2020/2/4,0.0,7.5,2.7,46.0,10.1
2020/2/5,0.0,7.0,4.6,52.0,7.3
2020/2/6,0.0,2.8,5.6,57.0,8.6
2020/2/7,0.0,3.3,1.8,58.0,0.6
2020/2/8,0.0,7.0,3.0,62.0,5.6
2020/2/9,0.0,3.7,5.0,54.0,6.9
2020/2/10,0.0,5.6,3.7,60.0,5.2
2020/2/11,0.0,6.9,2.6,57.0,9.8
2020/2/12,6.0,9.9,3.8,65.0,3.7
2020/2/13,5.0,14.7,3.4,79.0,7.3
2020/2/14,0.0,12.1,2.6,81.0,0.4
2020/2/15,0.0,11.3,2.1,78.0,0.0
2020/2/16,17.0,12.6,5.3,87.0,0.0
2020/2/17,0.0,7.4,7.6,51.0,5.2
2020/2/18,0.0,5.2,6.0,58.0,4.7
2020/2/19,0.0,7.4,2.6,58.0,10.2
2020/2/20,0.0,8.7,2.9,62.0,8.4
2020/2/21,0.0,9.5,1.9,62.0,10.5
2020/2/22,10.0,10.9,3.8,71.0,1.9
2020/2/23,0.0,9.2,3.4,49.0,4.6
2020/2/24,0.0,8.8,2.2,57.0,10.5
2020/2/25,4.5,11.2,3.2,63.0,0.0
2020/2/26,5.0,10.4,3.2,74.0,1.6
2020/2/27,0.5,6.4,4.6,60.0,6.4
2020/2/28,0.0,7.0,2.8,53.0,4.2
2020/2/29,7.0,8.5,3.6,79.0,0.0
2020/3/1,0.0,10.6,2.2,71.0,5.7
2020/3/2,0.0,12.3,4.1,57.0,10.3
2020/3/3,0.0,10.5,2.6,55.0,8.1
2020/3/4,16.0,9.4,3.5,81.0,0.0
2020/3/5,1.5,7.2,4.9,65.0,7.4
2020/3/6,0.0,7.7,3.4,54.0,9.5
2020/3/7,1.5,9.4,3.2,57.0,6.4
2020/3/8,8.5,11.0,6.1,73.0,1.5
2020/3/9,0.0,12.4,1.6,65.0,8.5
2020/3/10,10.0,14.8,4.2,84.0,0.1
2020/3/11,0.0,12.5,4.9,58.0,6.1
2020/3/12,0.0,9.9,2.8,46.0,11.3
2020/3/13,0.0,11.5,2.5,59.0,9.2
2020/3/14,12.0,9.3,2.0,74.0,0.0
2020/3/15,2.5,8.4,4.2,60.0,9.1
2020/3/16,3.0,5.9,4.9,65.0,8.9
2020/3/17,0.0,8.6,2.5,61.0,11.2
2020/3/18,0.0,12.9,2.5,61.0,8.3
2020/3/19,0.0,15.2,3.1,73.0,9.8
2020/3/20,0.0,12.7,5.0,41.0,10.6
2020/3/21,0.0,13.2,2.7,57.0,11.0
2020/3/22,0.0,15.5,2.6,68.0,1.6
2020/3/23,0.0,12.5,4.6,49.0,11.0
2020/3/24,0.0,9.9,4.4,44.0,9.7
2020/3/25,0.0,10.0,2.3,54.0,11.8
2020/3/26,0.0,14.2,2.7,57.0,8.2
2020/3/27,29.5,16.9,2.3,89.0,0.0
2020/3/28,7.5,13.6,2.6,81.0,0.0
2020/3/29,8.5,9.9,3.4,66.0,5.6
2020/3/30,0.0,11.1,3.2,64.0,0.0
2020/3/31,0.0,15.4,7.4,70.0,1.4
2020/4/1,21.0,14.2,8.0,80.0,0.0
2020/4/2,0.0,11.8,4.4,56.0,6.7
2020/4/3,0.0,11.7,2.1,54.0,7.4
2020/4/4,0.0,14.9,3.0,59.0,11.3
2020/4/5,0.0,10.4,5.0,48.0,8.0
2020/4/6,0.0,10.9,3.6,48.0,11.5
2020/4/7,0.0,12.3,3.0,48.0,11.0
2020/4/8,0.0,14.4,2.9,59.0,11.2
2020/4/9,0.0,13.0,3.6,46.0,11.9
2020/4/10,0.0,11.3,4.0,47.0,7.3
2020/4/11,0.0,11.1,2.8,57.0,9.0
2020/4/12,17.0,10.1,8.4,75.0,0.0
2020/4/13,12.0,11.1,7.0,81.0,0.0
2020/4/14,0.5,12.7,4.1,50.0,11.9
2020/4/15,0.0,13.4,2.9,54.0,8.3
2020/4/16,0.0,15.0,2.9,54.0,10.8
2020/4/17,0.0,15.8,4.3,62.0,7.3
2020/4/18,30.0,15.5,5.6,71.0,4.7
2020/4/19,0.0,15.3,3.5,63.0,1.2
2020/4/20,18.5,16.2,5.7,79.0,4.0
2020/4/21,0.0,16.0,4.0,57.0,2.9
2020/4/22,0.0,12.7,4.9,40.0,3.7
2020/4/23,0.0,11.5,5.1,50.0,8.9
2020/4/24,0.0,11.6,3.8,51.0,8.3
2020/4/25,0.0,14.0,3.4,55.0,12.7
2020/4/26,0.0,17.1,3.5,68.0,6.4
2020/4/27,0.0,15.4,2.7,54.0,8.2
2020/4/28,0.0,15.2,2.8,44.0,9.6
2020/4/29,0.0,16.0,3.3,51.0,12.6
2020/4/30,0.0,17.9,3.1,67.0,12.6
2020/5/1,0.0,19.4,3.4,71.0,11.3
2020/5/2,0.0,20.5,3.6,70.0,10.9
2020/5/3,2.0,19.2,2.2,76.0,0.7
2020/5/4,0.5,20.6,4.7,78.0,8.3
2020/5/5,0.0,22.0,2.2,62.0,8.0
2020/5/6,0.0,20.5,3.6,,0.1
2020/5/7,0.0,17.6,4.8,34.0,13.0
2020/5/8,0.0,17.8,3.8,60.0,8.7
2020/5/9,1.5,18.7,2.6,63.0,1.9
2020/5/10,1.5,20.5,4.0,83.0,0.0
2020/5/11,0.5,21.6,3.7,66.0,11.9
2020/5/12,0.0,21.2,3.0,59.0,10.1
2020/5/13,0.0,21.1,4.1,44.0,11.1
2020/5/14,0.0,19.9,3.0,43.0,12.2
2020/5/15,1.5,19.9,2.4,58.0,1.1
2020/5/16,17.5,17.3,5.0,91.0,0.0
2020/5/17,0.0,20.7,1.9,79.0,5.8
2020/5/18,53.0,21.1,3.6,81.0,3.2
2020/5/19,2.5,20.8,5.3,68.0,2.6
2020/5/20,0.0,19.7,4.9,53.0,7.8
2020/5/21,0.0,18.2,4.3,60.0,12.1
2020/5/22,0.0,20.4,3.5,64.0,5.3
2020/5/23,0.0,22.3,4.1,67.0,13.0
2020/5/24,0.0,22.4,3.5,75.0,8.4
2020/5/25,0.0,22.3,3.2,70.0,5.4
2020/5/26,3.5,21.5,2.3,78.0,0.6
2020/5/27,1.5,21.6,3.5,67.0,8.3
2020/5/28,0.0,21.8,3.6,46.0,12.7
2020/5/29,0.0,22.6,3.0,38.0,13.5
2020/5/30,0.0,23.0,3.5,49.0,11.1
2020/5/31,5.0,20.9,4.8,71.0,0.0
2020/6/1,0.0,22.3,3.6,73.0,5.3
2020/6/2,0.0,23.9,3.6,70.0,11.4
2020/6/3,0.0,23.3,2.2,71.0,4.2
2020/6/4,0.0,24.0,2.9,71.0,9.9
2020/6/5,0.0,24.8,3.1,69.0,8.9
2020/6/6,0.0,25.1,1.8,61.0,0.1
2020/6/7,0.0,24.8,3.2,39.0,13.7
2020/6/8,0.0,23.6,4.0,57.0,13.9
2020/6/9,0.0,24.4,3.3,70.0,11.0
2020/6/10,3.5,24.8,2.1,76.0,2.3
2020/6/11,23.5,23.3,3.8,94.0,0.0
2020/6/12,6.5,24.1,3.0,91.0,1.0
2020/6/13,44.5,23.9,3.2,95.0,0.0
2020/6/14,10.5,24.6,3.8,91.0,0.9
2020/6/15,0.0,26.3,3.8,72.0,8.1
2020/6/16,0.0,25.4,3.8,61.0,8.2
2020/6/17,0.0,24.2,3.4,55.0,10.4
2020/6/18,41.5,21.0,4.6,84.0,0.0
2020/6/19,30.0,20.8,4.1,84.0,0.2
2020/6/20,0.0,22.7,3.1,63.0,6.1
2020/6/21,0.0,23.7,3.6,64.0,7.3
2020/6/22,0.0,25.8,5.1,56.0,3.8
2020/6/23,0.0,25.9,3.0,55.0,13.8
2020/6/24,0.0,25.6,3.3,65.0,13.4
2020/6/25,2.5,25.2,3.9,80.0,0.0
2020/6/26,0.0,26.2,3.9,87.0,4.3
2020/6/27,0.0,26.1,2.9,76.0,1.0
2020/6/28,7.5,24.2,2.7,81.0,1.7
2020/6/29,0.0,25.1,2.3,61.0,9.3
2020/6/30,74.0,24.1,5.4,88.0,0.0
2020/7/1,4.0,24.4,4.6,81.0,3.1
2020/7/2,0.0,24.2,3.6,66.0,6.9
2020/7/3,64.5,22.3,5.3,83.0,0.0
2020/7/4,10.5,23.8,3.9,91.0,0.2
2020/7/5,1.0,24.9,2.9,86.0,4.7
2020/7/6,48.5,24.7,4.2,94.0,0.0
2020/7/7,15.0,24.9,4.4,94.0,0.0
2020/7/8,87.0,24.6,2.5,88.0,3.0
2020/7/9,0.5,25.2,2.5,86.0,0.3
2020/7/10,45.5,25.5,2.9,91.0,0.1
2020/7/11,42.5,25.4,3.9,93.0,0.0
2020/7/12,0.0,25.7,3.6,69.0,2.7
2020/7/13,16.0,21.6,4.4,88.0,0.0
2020/7/14,78.0,24.7,4.9,89.0,1.5
2020/7/15,0.0,24.7,4.9,76.0,2.5
2020/7/16,0.0,25.3,2.3,73.0,8.1
2020/7/17,1.5,25.1,4.8,78.0,0.2
2020/7/18,0.0,25.8,3.0,81.0,7.8
2020/7/19,0.0,27.2,2.9,71.0,8.0
2020/7/20,0.0,28.0,3.0,74.0,7.3
2020/7/21,0.0,28.9,3.4,74.0,10.1
2020/7/22,0.0,28.3,2.8,71.0,6.7
2020/7/23,0.0,27.3,3.3,77.0,0.1
2020/7/24,60.0,26.3,3.5,83.0,0.0
2020/7/25,71.5,25.1,2.8,90.0,0.0
2020/7/26,10.0,25.4,2.1,88.0,0.2
2020/7/27,2.0,26.2,3.0,85.0,0.2
2020/7/28,0.5,26.7,3.9,89.0,1.3
2020/7/29,0.0,28.1,2.9,79.0,5.7
2020/7/30,18.0,27.4,3.0,83.0,3.8
2020/7/31,9.5,28.2,3.3,78.0,8.3
2020/8/1,0.0,28.4,2.4,68.0,11.6
2020/8/2,0.0,28.6,3.1,73.0,7.7
2020/8/3,0.0,28.2,2.9,78.0,2.7
2020/8/4,0.0,28.7,2.6,70.0,6.3
2020/8/5,0.0,29.0,2.8,70.0,11.7
2020/8/6,0.0,28.7,3.4,73.0,11.6
2020/8/7,0.0,28.8,3.5,75.0,6.7
2020/8/8,0.0,28.6,3.2,77.0,3.0
2020/8/9,0.0,29.1,3.5,77.0,9.3
2020/8/10,0.0,30.1,3.6,74.0,8.7
2020/8/11,0.0,29.4,4.0,80.0,7.2
2020/8/12,0.0,30.2,3.6,72.0,9.3
2020/8/13,0.0,30.9,3.1,70.0,7.9
2020/8/14,0.0,30.7,3.3,73.0,11.9
2020/8/15,0.0,31.7,3.3,68.0,12.5
2020/8/16,0.0,32.1,2.7,64.0,12.2
2020/8/17,0.0,32.4,3.0,61.0,12.5
2020/8/18,0.0,31.5,2.7,54.0,11.5
2020/8/19,0.0,30.4,3.7,62.0,12.5
2020/8/20,0.0,30.6,3.1,73.0,11.0
2020/8/21,1.0,30.6,2.3,72.0,11.4
2020/8/22,0.5,30.0,2.9,67.0,9.9
2020/8/23,0.0,29.8,3.5,66.0,11.5
2020/8/24,0.0,29.6,2.5,74.0,11.7
2020/8/25,0.0,30.2,3.3,70.0,12.0
2020/8/26,0.0,30.2,3.4,67.0,12.3
2020/8/27,0.0,30.0,3.2,69.0,8.0
2020/8/28,0.0,30.0,3.1,72.0,8.3
2020/8/29,5.0,30.6,3.3,72.0,11.9
2020/8/30,11.5,30.3,2.2,73.0,10.0
2020/8/31,0.0,30.7,2.6,63.0,12.0
2020/9/1,0.0,30.6,3.5,68.0,9.6
2020/9/2,19.0,29.5,5.4,74.0,3.9
2020/9/3,0.0,29.6,3.6,73.0,2.5
2020/9/4,0.5,28.5,2.5,77.0,2.5
2020/9/5,17.0,29.3,2.9,73.0,10.6
2020/9/6,8.5,28.3,7.4,75.0,4.2
2020/9/7,4.0,27.9,6.6,78.0,4.6
2020/9/8,0.0,28.3,4.2,71.0,10.6
2020/9/9,3.0,25.7,2.2,73.0,0.2
2020/9/10,2.5,25.5,2.6,81.0,1.2
2020/9/11,0.0,27.2,3.4,78.0,2.2
2020/9/12,0.0,28.4,3.8,71.0,7.9
2020/9/13,3.0,26.9,3.5,75.0,1.8
2020/9/14,0.0,24.6,2.3,64.0,5.5
2020/9/15,0.0,24.9,2.1,60.0,10.5
2020/9/16,0.0,25.8,3.7,71.0,2.0
2020/9/17,0.0,27.0,2.8,82.0,0.6
2020/9/18,1.0,26.9,4.8,80.0,0.9
2020/9/19,0.0,25.2,3.3,53.0,6.2
2020/9/20,0.0,23.7,2.5,51.0,2.5
2020/9/21,0.0,23.7,4.3,52.0,10.3
2020/9/22,0.0,24.1,6.2,58.0,5.9
2020/9/23,0.0,26.0,5.5,56.0,4.5
2020/9/24,4.5,24.9,2.3,72.0,0.3
2020/9/25,77.5,22.0,3.8,91.0,0.0
2020/9/26,0.0,22.9,2.5,76.0,0.2
2020/9/27,0.0,22.5,4.2,64.0,6.2
2020/9/28,0.0,22.2,3.9,61.0,6.9
2020/9/29,0.0,23.3,2.7,63.0,8.5
2020/9/30,2.0,22.9,2.7,65.0,2.9
2020/10/1,2.0,22.4,3.1,62.0,9.0
2020/10/2,0.0,22.3,2.5,65.0,11.2
2020/10/3,0.0,23.4,2.1,70.0,3.2
2020/10/4,0.0,23.9,2.2,73.0,0.4
2020/10/5,1.5,22.5,3.6,63.0,5.0
2020/10/6,0.0,20.1,4.1,50.0,6.5
2020/10/7,3.0,20.5,5.6,59.0,2.4
2020/10/8,34.0,17.1,6.1,85.0,0.0
2020/10/9,51.0,19.0,10.2,86.0,0.0
2020/10/10,10.0,22.3,6.3,74.0,3.1
2020/10/11,0.0,22.6,2.4,67.0,2.5
2020/10/12,0.0,22.8,2.4,69.0,10.7
2020/10/13,0.0,22.5,2.6,57.0,7.3
2020/10/14,0.0,21.0,2.8,64.0,10.5
2020/10/15,0.0,19.7,3.9,52.0,10.2
2020/10/16,0.0,19.5,2.5,47.0,4.9
2020/10/17,19.0,13.7,3.2,85.0,0.0
2020/10/18,0.0,15.4,2.0,77.0,6.2
2020/10/19,0.0,16.1,1.8,77.0,0.4
2020/10/20,0.0,17.7,3.0,68.0,9.3
2020/10/21,0.0,19.4,4.8,61.0,9.2
2020/10/22,0.0,20.3,8.6,67.0,1.2
2020/10/23,34.0,18.5,3.5,74.0,1.5
2020/10/24,0.0,15.9,4.6,53.0,9.4
2020/10/25,0.0,15.3,3.4,53.0,10.2
2020/10/26,0.0,16.7,2.9,61.0,10.1
2020/10/27,0.0,16.9,2.4,59.0,9.8
2020/10/28,0.0,17.0,2.1,62.0,4.6
2020/10/29,0.0,17.4,2.9,55.0,7.9
2020/10/30,0.0,14.9,4.3,55.0,5.1
2020/10/31,0.0,14.5,2.1,59.0,10.1
2020/11/1,0.0,17.9,5.3,57.0,5.8
2020/11/2,38.5,17.0,3.1,86.0,0.0
2020/11/3,0.5,15.6,3.8,51.0,6.9
2020/11/4,0.0,12.4,4.5,51.0,7.7
2020/11/5,0.0,13.4,2.0,54.0,9.2
2020/11/6,0.0,16.3,2.5,63.0,4.0
2020/11/7,4.5,17.8,3.3,85.0,0.0
2020/11/8,0.0,17.7,3.4,63.0,6.7
2020/11/9,0.0,13.7,3.7,57.0,6.9
2020/11/10,0.0,12.4,4.6,55.0,7.6
2020/11/11,0.0,11.8,3.3,59.0,3.6
2020/11/12,0.0,13.3,2.6,64.0,8.2
2020/11/13,0.0,15.5,3.0,72.0,0.1
2020/11/14,0.0,15.2,2.5,56.0,9.7
2020/11/15,0.0,15.5,2.3,64.0,9.6
2020/11/16,0.0,17.8,2.4,72.0,7.3
2020/11/17,0.0,17.6,2.9,56.0,9.4
2020/11/18,0.0,19.2,3.3,66.0,9.0
2020/11/19,0.0,20.8,3.2,71.0,8.3
2020/11/20,4.5,20.9,3.9,78.0,0.4
2020/11/21,0.0,14.2,4.4,58.0,6.4
2020/11/22,0.0,14.4,2.6,70.0,4.3
2020/11/23,0.0,14.8,4.5,66.0,5.8
2020/11/24,0.0,12.7,3.2,61.0,9.5
2020/11/25,0.0,12.6,1.9,61.0,0.1
2020/11/26,0.0,13.6,2.3,66.0,8.6
2020/11/27,0.5,15.0,3.2,62.0,6.5
2020/11/28,0.0,11.5,3.9,60.0,3.0
2020/11/29,0.0,10.8,2.8,64.0,3.9
2020/11/30,0.0,11.2,3.4,56.0,7.1
2020/12/1,0.0,11.4,2.6,58.0,6.9
2020/12/2,0.0,11.4,2.1,71.0,9.5
2020/12/3,0.0,11.7,3.3,61.0,6.7
2020/12/4,0.0,11.0,3.4,54.0,9.0
2020/12/5,0.0,11.2,2.9,54.0,9.4
2020/12/6,0.0,10.5,2.1,60.0,8.4
2020/12/7,0.0,11.6,2.4,61.0,7.4
2020/12/8,0.0,12.2,3.3,51.0,8.5
2020/12/9,0.0,10.6,1.7,59.0,6.6
2020/12/10,0.0,11.1,2.6,66.0,5.8
2020/12/11,0.0,12.7,2.3,63.0,8.1
2020/12/12,0.0,13.2,3.5,57.0,5.3
2020/12/13,0.0,10.4,3.7,56.0,2.1
2020/12/14,0.0,8.8,5.3,56.0,2.0
2020/12/15,0.0,4.8,5.4,50.0,5.9
2020/12/16,0.0,3.9,6.8,50.0,8.1
2020/12/17,0.0,4.2,4.4,61.0,5.3
2020/12/18,0.0,7.0,5.0,53.0,6.8
2020/12/19,0.0,6.2,3.7,63.0,1.7
2020/12/20,0.0,5.4,3.4,62.0,5.1
2020/12/21,0.0,6.5,3.7,56.0,7.9
2020/12/22,0.0,8.1,3.0,52.0,8.2
2020/12/23,0.0,8.6,2.5,52.0,8.3
2020/12/24,2.0,8.2,2.2,76.0,0.0
2020/12/25,0.0,7.9,5.1,57.0,8.5
2020/12/26,0.0,7.1,3.6,51.0,6.8
2020/12/27,1.0,8.0,2.0,59.0,5.9
2020/12/28,7.5,9.3,2.9,78.0,5.3
2020/12/29,0.0,9.5,2.1,69.0,5.1
2020/12/30,3.0,7.4,6.2,73.0,4.1
2020/12/31,0.0,3.0,6.2,61.0,5.8
